Source_Table,Source_Column,Target_Table,Target_Column,Logic
silver.weather_historical,iso_code,fct_energy_demand_daily,iso_code,Direct map (Primary Key)
silver.weather_historical,date,fct_energy_demand_daily,date,Direct map (Primary Key)
silver.weather_historical,temp_mean,fct_energy_demand_daily,avg_temperature_c,Direct map
silver.weather_historical,hdd,fct_energy_demand_daily,heating_degree_days,Direct map
silver.weather_historical,cdd,fct_energy_demand_daily,cooling_degree_days,Direct map
silver.energy_metrics,electricity_demand,fct_energy_demand_daily,annual_baseline_twh,Broadcast join on iso_code and year
silver.energy_metrics,renewables_share,fct_energy_demand_daily,renewables_percentage,Broadcast join on iso_code and year
silver.dim_date,is_holiday,fct_energy_demand_daily,is_public_holiday,Join on date
silver.dim_date,is_weekend,fct_energy_demand_daily,is_weekend,Join on date
Calculation,N/A,fct_energy_demand_daily,demand_sensitivity_index,(hdd + cdd) / (electricity_demand / 365)
silver.dim_locations,country_name,dim_locations,country_name,Direct map
silver.dim_locations,region,dim_locations,geographical_region,Direct map
silver.dim_locations,income_group,dim_locations,income_category,Direct map
Aggregation,N/A,ref_energy_benchmarks,avg_annual_sensitivity,AVG(demand_sensitivity_index) grouped by iso_code and year
