Source_Table,Source_Column,Target_Table,Target_Column,Logic
silver.weather_observations,station_id,fct_model_fidelity_daily,station_id,Direct map (Primary Key)
silver.weather_observations,date,fct_model_fidelity_daily,date,Direct map (Primary Key)
silver.weather_observations,temp_mean,fct_model_fidelity_daily,observed_avg_temp,Direct map (Physical Sensor)
silver.weather_historical,temp_mean,fct_model_fidelity_daily,modeled_avg_temp,Join on date and nearest_station_id
Calculation,N/A,fct_model_fidelity_daily,absolute_error,ABS(observed_avg_temp - modeled_avg_temp)
Calculation,N/A,fct_model_fidelity_daily,bias_error,modeled_avg_temp - observed_avg_temp
silver.dim_stations,station_name,dim_stations,station_name,Direct map
silver.dim_stations,elevation,dim_stations,elevation_meters,Direct map
silver.dim_stations,country,dim_stations,country_code,Direct map
Aggregation,N/A,ref_fidelity_metrics,rmse,SQRT(AVG(POWER(absolute_error, 2))) Grouped by country and month
Aggregation,N/A,ref_fidelity_metrics,data_drift_flag,CASE WHEN ABS(AVG(bias_error)) > 2.0 THEN 'High Drift' ELSE 'Stable' END
