Source_Table,Source_Column,Target_Table,Target_Column,Logic
silver.forest_carbon_annual,h3_cell_index,fct_forest_resilience_annual,h3_cell_index,Direct map (Primary Key)
silver.forest_carbon_annual,year,fct_forest_resilience_annual,year,Direct map (Primary Key)
silver.forest_carbon_annual,net_flux,fct_forest_resilience_annual,carbon_net_flux,Direct map
silver.forest_carbon_annual,tree_cover_loss,fct_forest_resilience_annual,ha_loss_area,Direct map
silver.weather_historical,temp_max,fct_forest_resilience_annual,extreme_heat_days,Count(days > 30C) grouped by H3 and Year
silver.weather_historical,precipitation,fct_forest_resilience_annual,annual_precip_mm,Sum(precip) grouped by H3 and Year
silver.dim_h3_grid,centroid_lat,dim_h3_spatial,latitude,Direct map from H3 metadata
silver.dim_h3_grid,centroid_lon,dim_h3_spatial,longitude,Direct map from H3 metadata
Calculation,N/A,fct_forest_resilience_annual,sequestration_efficiency,carbon_net_flux / forest_area
Calculation,N/A,fct_forest_resilience_annual,thermal_anomaly,Current year temp_mean vs ref_thermal_baselines
silver.weather_historical,temp_mean,ref_thermal_baselines,historical_avg_temp,AVG(temp_mean) over 10-year window per H3 cell
